"","colony","species","year","plot","plotgroup","count"
"37017","Ramsay Island","ANMU",1992,"p8","caauplots",0
"37073","Ramsay Island","ANMU",2002,"p8","caauplots",0
"37129","Ramsay Island","ANMU",2007,"p8","caauplots",0
"37185","Ramsay Island","ANMU",2012,"p8","caauplots",0
"38641","Ramsay Island","ANMU",1984,"p9","caauplots",0
"38753","Ramsay Island","ANMU",2002,"p9","caauplots",0
"38809","Ramsay Island","ANMU",2007,"p9","caauplots",0
"38865","Ramsay Island","ANMU",2012,"p9","caauplots",0
"341","George Island","ANMU",1985,"p1","anmuplots",31
"845","George Island","ANMU",1991,"p1","anmuplots",43
"901","George Island","ANMU",1996,"p1","anmuplots",51
"957","George Island","ANMU",2003,"p1","anmuplots",52
"789","George Island","ANMU",2008,"p1","anmuplots",54
"1013","George Island","ANMU",2013,"p1","anmuplots",61
"1069","George Island","ANMU",2017,"p1","anmuplots",47
"2021","George Island","ANMU",1985,"p2","anmuplots",49
"2525","George Island","ANMU",1991,"p2","anmuplots",72
"2581","George Island","ANMU",1996,"p2","anmuplots",77
"2637","George Island","ANMU",2003,"p2","anmuplots",75
"2469","George Island","ANMU",2008,"p2","anmuplots",85
"2693","George Island","ANMU",2013,"p2","anmuplots",91
"2749","George Island","ANMU",2017,"p2","anmuplots",78
"3701","George Island","ANMU",1985,"p3","anmuplots",11
"4205","George Island","ANMU",1991,"p3","anmuplots",18
"4261","George Island","ANMU",1996,"p3","anmuplots",26
"4317","George Island","ANMU",2003,"p3","anmuplots",39
"4149","George Island","ANMU",2008,"p3","anmuplots",45
"4373","George Island","ANMU",2013,"p3","anmuplots",48
"4429","George Island","ANMU",2017,"p3","anmuplots",51
"5381","George Island","ANMU",1985,"p4","anmuplots",32
"5885","George Island","ANMU",1991,"p4","anmuplots",41
"5941","George Island","ANMU",1996,"p4","anmuplots",45
"5997","George Island","ANMU",2003,"p4","anmuplots",41
"5829","George Island","ANMU",2008,"p4","anmuplots",50
"6053","George Island","ANMU",2013,"p4","anmuplots",49
"6109","George Island","ANMU",2017,"p4","anmuplots",48
"7061","George Island","ANMU",1985,"p5","anmuplots",37
"7565","George Island","ANMU",1991,"p5","anmuplots",47
"7621","George Island","ANMU",1996,"p5","anmuplots",53
"7677","George Island","ANMU",2003,"p5","anmuplots",52
"7509","George Island","ANMU",2008,"p5","anmuplots",57
"7733","George Island","ANMU",2013,"p5","anmuplots",73
"7789","George Island","ANMU",2017,"p5","anmuplots",64
"8741","George Island","ANMU",1985,"p6","anmuplots",23
"9245","George Island","ANMU",1991,"p6","anmuplots",26
"9301","George Island","ANMU",1996,"p6","anmuplots",33
"9357","George Island","ANMU",2003,"p6","anmuplots",31
"9189","George Island","ANMU",2008,"p6","anmuplots",31
"9413","George Island","ANMU",2013,"p6","anmuplots",31
"9469","George Island","ANMU",2017,"p6","anmuplots",27
"10421","George Island","ANMU",1985,"p7","anmuplots",37
"10925","George Island","ANMU",1991,"p7","anmuplots",39
"10981","George Island","ANMU",1996,"p7","anmuplots",38
"11037","George Island","ANMU",2003,"p7","anmuplots",42
"10869","George Island","ANMU",2008,"p7","anmuplots",54
"11093","George Island","ANMU",2013,"p7","anmuplots",64
"11149","George Island","ANMU",2017,"p7","anmuplots",69
"12101","George Island","ANMU",1985,"p8","anmuplots",38
"12605","George Island","ANMU",1991,"p8","anmuplots",40
"12661","George Island","ANMU",1996,"p8","anmuplots",46
"12717","George Island","ANMU",2003,"p8","anmuplots",42
"12549","George Island","ANMU",2008,"p8","anmuplots",36
"12773","George Island","ANMU",2013,"p8","anmuplots",42
"12829","George Island","ANMU",2017,"p8","anmuplots",45
"7","Rankine Island","ANMU",1984,"p1","anmuplots",65
"1127","Rankine Island","ANMU",2000,"p1","anmuplots",58
"1183","Rankine Island","ANMU",2005,"p1","anmuplots",61
"1239","Rankine Island","ANMU",2010,"p1","anmuplots",60
"1071","Rankine Island","ANMU",2017,"p1","anmuplots",69
"1687","Rankine Island","ANMU",1984,"p2","anmuplots",21
"2807","Rankine Island","ANMU",2000,"p2","anmuplots",16
"2863","Rankine Island","ANMU",2005,"p2","anmuplots",11
"2919","Rankine Island","ANMU",2010,"p2","anmuplots",18
"2751","Rankine Island","ANMU",2017,"p2","anmuplots",17
"3367","Rankine Island","ANMU",1984,"p3","anmuplots",38
"4487","Rankine Island","ANMU",2000,"p3","anmuplots",31
"4543","Rankine Island","ANMU",2005,"p3","anmuplots",30
"4599","Rankine Island","ANMU",2010,"p3","anmuplots",30
"4431","Rankine Island","ANMU",2017,"p3","anmuplots",37
"5047","Rankine Island","ANMU",1984,"p4","anmuplots",47
"6167","Rankine Island","ANMU",2000,"p4","anmuplots",47
"6223","Rankine Island","ANMU",2005,"p4","anmuplots",54
"6279","Rankine Island","ANMU",2010,"p4","anmuplots",62
"6111","Rankine Island","ANMU",2017,"p4","anmuplots",51
"6727","Rankine Island","ANMU",1984,"p5","anmuplots",56
"7847","Rankine Island","ANMU",2000,"p5","anmuplots",60
"7903","Rankine Island","ANMU",2005,"p5","anmuplots",65
"7959","Rankine Island","ANMU",2010,"p5","anmuplots",80
"7791","Rankine Island","ANMU",2017,"p5","anmuplots",72
"8407","Rankine Island","ANMU",1984,"p6","anmuplots",77
"9527","Rankine Island","ANMU",2000,"p6","anmuplots",70
"9583","Rankine Island","ANMU",2005,"p6","anmuplots",69
"9639","Rankine Island","ANMU",2010,"p6","anmuplots",59
"9471","Rankine Island","ANMU",2017,"p6","anmuplots",43
"10087","Rankine Island","ANMU",1984,"p7","anmuplots",35
"11207","Rankine Island","ANMU",2000,"p7","anmuplots",36
"11263","Rankine Island","ANMU",2005,"p7","anmuplots",38
"11319","Rankine Island","ANMU",2010,"p7","anmuplots",45
"11151","Rankine Island","ANMU",2017,"p7","anmuplots",47
"11767","Rankine Island","ANMU",1984,"p8","anmuplots",37
"12887","Rankine Island","ANMU",2000,"p8","anmuplots",51
"12943","Rankine Island","ANMU",2005,"p8","anmuplots",57
"12999","Rankine Island","ANMU",2010,"p8","anmuplots",70
"12831","Rankine Island","ANMU",2017,"p8","anmuplots",74
"25209","Ramsay Island","CAAU",1984,"p1","caauplots",40
"25489","Ramsay Island","CAAU",1993,"p1","caauplots",43
"25321","Ramsay Island","CAAU",2002,"p1","caauplots",40
"25377","Ramsay Island","CAAU",2007,"p1","caauplots",40
"25433","Ramsay Island","CAAU",2012,"p1","caauplots",53
"26889","Ramsay Island","CAAU",1984,"p2","caauplots",45
"27169","Ramsay Island","CAAU",1993,"p2","caauplots",47
"27001","Ramsay Island","CAAU",2002,"p2","caauplots",55
"27057","Ramsay Island","CAAU",2007,"p2","caauplots",52
"27113","Ramsay Island","CAAU",2012,"p2","caauplots",56
"28569","Ramsay Island","CAAU",1984,"p3","caauplots",34
"28625","Ramsay Island","CAAU",1992,"p3","caauplots",33
"28849","Ramsay Island","CAAU",1993,"p3","caauplots",37
"28681","Ramsay Island","CAAU",2002,"p3","caauplots",33
"28737","Ramsay Island","CAAU",2007,"p3","caauplots",30
"28793","Ramsay Island","CAAU",2012,"p3","caauplots",39
"30249","Ramsay Island","CAAU",1984,"p4","caauplots",40
"30305","Ramsay Island","CAAU",1992,"p4","caauplots",37
"30529","Ramsay Island","CAAU",1993,"p4","caauplots",41
"30361","Ramsay Island","CAAU",2002,"p4","caauplots",40
"30417","Ramsay Island","CAAU",2007,"p4","caauplots",39
"30473","Ramsay Island","CAAU",2012,"p4","caauplots",52
"31929","Ramsay Island","CAAU",1984,"p5","caauplots",58
"32209","Ramsay Island","CAAU",1993,"p5","caauplots",56
"32041","Ramsay Island","CAAU",2002,"p5","caauplots",58
"32097","Ramsay Island","CAAU",2007,"p5","caauplots",51
"32153","Ramsay Island","CAAU",2012,"p5","caauplots",75
"33609","Ramsay Island","CAAU",1984,"p6","caauplots",28
"33721","Ramsay Island","CAAU",2002,"p6","caauplots",41
"33777","Ramsay Island","CAAU",2007,"p6","caauplots",31
"33833","Ramsay Island","CAAU",2012,"p6","caauplots",43
"35289","Ramsay Island","CAAU",1984,"p7","caauplots",18
"35401","Ramsay Island","CAAU",2002,"p7","caauplots",25
"35457","Ramsay Island","CAAU",2007,"p7","caauplots",30
"35513","Ramsay Island","CAAU",2012,"p7","caauplots",39
"36969","Ramsay Island","CAAU",1984,"p8","caauplots",26
"37025","Ramsay Island","CAAU",1992,"p8","caauplots",25
"37081","Ramsay Island","CAAU",2002,"p8","caauplots",27
"37137","Ramsay Island","CAAU",2007,"p8","caauplots",29
"37193","Ramsay Island","CAAU",2012,"p8","caauplots",31
"38649","Ramsay Island","CAAU",1984,"p9","caauplots",56
"38761","Ramsay Island","CAAU",2002,"p9","caauplots",41
"38817","Ramsay Island","CAAU",2007,"p9","caauplots",60
"38873","Ramsay Island","CAAU",2012,"p9","caauplots",92
"57468","Skaang Gwai","CAAU",1985,"p5","rhauplots",7
"59148","Skaang Gwai","CAAU",1985,"p6","rhauplots",16
"59428","Skaang Gwai","CAAU",2006,"p6","rhauplots",13
"59484","Skaang Gwai","CAAU",2011,"p6","rhauplots",10
"59540","Skaang Gwai","CAAU",2016,"p6","rhauplots",20
"60828","Skaang Gwai","CAAU",1985,"p7","rhauplots",4
"61108","Skaang Gwai","CAAU",2006,"p7","rhauplots",6
"61164","Skaang Gwai","CAAU",2011,"p7","rhauplots",3
"61220","Skaang Gwai","CAAU",2016,"p7","rhauplots",9
"62508","Skaang Gwai","CAAU",1985,"p8","rhauplots",29
"62788","Skaang Gwai","CAAU",2006,"p8","rhauplots",4
"62844","Skaang Gwai","CAAU",2011,"p8","rhauplots",7
"62900","Skaang Gwai","CAAU",2016,"p8","rhauplots",11
"25550","East Copper Island","CAAU",1985,"p1","caauplots",18
"26054","East Copper Island","CAAU",1991,"p1","caauplots",19
"26166","East Copper Island","CAAU",2003,"p1","caauplots",20
"25998","East Copper Island","CAAU",2008,"p1","caauplots",22
"26222","East Copper Island","CAAU",2013,"p1","caauplots",28
"26278","East Copper Island","CAAU",2017,"p1","caauplots",25
"27230","East Copper Island","CAAU",1985,"p2","caauplots",27
"27734","East Copper Island","CAAU",1991,"p2","caauplots",32
"27846","East Copper Island","CAAU",2003,"p2","caauplots",31
"27678","East Copper Island","CAAU",2008,"p2","caauplots",37
"27902","East Copper Island","CAAU",2013,"p2","caauplots",47
"27958","East Copper Island","CAAU",2017,"p2","caauplots",45
"28910","East Copper Island","CAAU",1985,"p3","caauplots",56
"29414","East Copper Island","CAAU",1991,"p3","caauplots",45
"29526","East Copper Island","CAAU",2003,"p3","caauplots",43
"29358","East Copper Island","CAAU",2008,"p3","caauplots",35
"29582","East Copper Island","CAAU",2013,"p3","caauplots",36
"29638","East Copper Island","CAAU",2017,"p3","caauplots",31
"30590","East Copper Island","CAAU",1985,"p4","caauplots",48
"31094","East Copper Island","CAAU",1991,"p4","caauplots",51
"31206","East Copper Island","CAAU",2003,"p4","caauplots",46
"31038","East Copper Island","CAAU",2008,"p4","caauplots",47
"31262","East Copper Island","CAAU",2013,"p4","caauplots",56
"31318","East Copper Island","CAAU",2017,"p4","caauplots",62
"32270","East Copper Island","CAAU",1985,"p5","caauplots",52
"32774","East Copper Island","CAAU",1991,"p5","caauplots",52
"32886","East Copper Island","CAAU",2003,"p5","caauplots",36
"32718","East Copper Island","CAAU",2008,"p5","caauplots",38
"32942","East Copper Island","CAAU",2013,"p5","caauplots",44
"32998","East Copper Island","CAAU",2017,"p5","caauplots",36
"33950","East Copper Island","CAAU",1985,"p6","caauplots",36
"34454","East Copper Island","CAAU",1991,"p6","caauplots",38
"34566","East Copper Island","CAAU",2003,"p6","caauplots",22
"34398","East Copper Island","CAAU",2008,"p6","caauplots",19
"34622","East Copper Island","CAAU",2013,"p6","caauplots",25
"34678","East Copper Island","CAAU",2017,"p6","caauplots",35
"25215","Rankine Island","CAAU",1984,"p1","caauplots",77
"26335","Rankine Island","CAAU",2000,"p1","caauplots",33
"26391","Rankine Island","CAAU",2005,"p1","caauplots",29
"26447","Rankine Island","CAAU",2010,"p1","caauplots",35
"26279","Rankine Island","CAAU",2017,"p1","caauplots",35
"26895","Rankine Island","CAAU",1984,"p2","caauplots",32
"28015","Rankine Island","CAAU",2000,"p2","caauplots",24
"28071","Rankine Island","CAAU",2005,"p2","caauplots",29
"28127","Rankine Island","CAAU",2010,"p2","caauplots",30
"27959","Rankine Island","CAAU",2017,"p2","caauplots",40
"28575","Rankine Island","CAAU",1984,"p3","caauplots",57
"29695","Rankine Island","CAAU",2000,"p3","caauplots",50
"29751","Rankine Island","CAAU",2005,"p3","caauplots",64
"29807","Rankine Island","CAAU",2010,"p3","caauplots",59
"29639","Rankine Island","CAAU",2017,"p3","caauplots",59
"30255","Rankine Island","CAAU",1984,"p4","caauplots",29
"31375","Rankine Island","CAAU",2000,"p4","caauplots",23
"31431","Rankine Island","CAAU",2005,"p4","caauplots",25
"31487","Rankine Island","CAAU",2010,"p4","caauplots",27
"31319","Rankine Island","CAAU",2017,"p4","caauplots",31
"31935","Rankine Island","CAAU",1984,"p5","caauplots",43
"33055","Rankine Island","CAAU",2000,"p5","caauplots",35
"33111","Rankine Island","CAAU",2005,"p5","caauplots",37
"33167","Rankine Island","CAAU",2010,"p5","caauplots",35
"32999","Rankine Island","CAAU",2017,"p5","caauplots",41
"33615","Rankine Island","CAAU",1984,"p6","caauplots",60
"34735","Rankine Island","CAAU",2000,"p6","caauplots",48
"34791","Rankine Island","CAAU",2005,"p6","caauplots",59
"34847","Rankine Island","CAAU",2010,"p6","caauplots",60
"34679","Rankine Island","CAAU",2017,"p6","caauplots",50
"35295","Rankine Island","CAAU",1984,"p7","caauplots",49
"36415","Rankine Island","CAAU",2000,"p7","caauplots",21
"36471","Rankine Island","CAAU",2005,"p7","caauplots",23
"36527","Rankine Island","CAAU",2010,"p7","caauplots",24
"36359","Rankine Island","CAAU",2017,"p7","caauplots",26
"36975","Rankine Island","CAAU",1984,"p8","caauplots",50
"38095","Rankine Island","CAAU",2000,"p8","caauplots",37
"38151","Rankine Island","CAAU",2005,"p8","caauplots",30
"38207","Rankine Island","CAAU",2010,"p8","caauplots",28
"38039","Rankine Island","CAAU",2017,"p8","caauplots",24
"26504","Triangle Island","CAAU",1989,"p1","caauplots",86
"26560","Triangle Island","CAAU",1994,"p1","caauplots",96
"26728","Triangle Island","CAAU",2004,"p1","caauplots",39
"26784","Triangle Island","CAAU",2009,"p1","caauplots",36
"26672","Triangle Island","CAAU",2014,"p1","caauplots",54
"26840","Triangle Island","CAAU",2019,"p1","caauplots",39
"28184","Triangle Island","CAAU",1989,"p2","caauplots",187
"28240","Triangle Island","CAAU",1994,"p2","caauplots",151
"28296","Triangle Island","CAAU",1999,"p2","caauplots",115
"28408","Triangle Island","CAAU",2004,"p2","caauplots",105
"28464","Triangle Island","CAAU",2009,"p2","caauplots",95
"28352","Triangle Island","CAAU",2014,"p2","caauplots",137
"28520","Triangle Island","CAAU",2019,"p2","caauplots",71
"29864","Triangle Island","CAAU",1989,"p3","caauplots",257
"29920","Triangle Island","CAAU",1994,"p3","caauplots",213
"29976","Triangle Island","CAAU",1999,"p3","caauplots",197
"30088","Triangle Island","CAAU",2004,"p3","caauplots",256
"30144","Triangle Island","CAAU",2009,"p3","caauplots",143
"30032","Triangle Island","CAAU",2014,"p3","caauplots",208
"30200","Triangle Island","CAAU",2019,"p3","caauplots",167
"31544","Triangle Island","CAAU",1989,"p4","caauplots",305
"31600","Triangle Island","CAAU",1994,"p4","caauplots",288
"31656","Triangle Island","CAAU",1999,"p4","caauplots",233
"31768","Triangle Island","CAAU",2004,"p4","caauplots",237
"31824","Triangle Island","CAAU",2009,"p4","caauplots",190
"31712","Triangle Island","CAAU",2014,"p4","caauplots",264
"31880","Triangle Island","CAAU",2019,"p4","caauplots",204
"33224","Triangle Island","CAAU",1989,"p5","caauplots",139
"33280","Triangle Island","CAAU",1994,"p5","caauplots",153
"33336","Triangle Island","CAAU",1999,"p5","caauplots",143
"33448","Triangle Island","CAAU",2004,"p5","caauplots",148
"33504","Triangle Island","CAAU",2009,"p5","caauplots",147
"33392","Triangle Island","CAAU",2014,"p5","caauplots",135
"33560","Triangle Island","CAAU",2019,"p5","caauplots",117
"34904","Triangle Island","CAAU",1989,"p6","caauplots",182
"34960","Triangle Island","CAAU",1994,"p6","caauplots",181
"35016","Triangle Island","CAAU",1999,"p6","caauplots",158
"35128","Triangle Island","CAAU",2004,"p6","caauplots",157
"35184","Triangle Island","CAAU",2009,"p6","caauplots",168
"35072","Triangle Island","CAAU",2014,"p6","caauplots",205
"35240","Triangle Island","CAAU",2019,"p6","caauplots",207
"36584","Triangle Island","CAAU",1989,"p7","caauplots",126
"36640","Triangle Island","CAAU",1994,"p7","caauplots",129
"36696","Triangle Island","CAAU",1999,"p7","caauplots",95
"36808","Triangle Island","CAAU",2004,"p7","caauplots",98
"36864","Triangle Island","CAAU",2009,"p7","caauplots",88
"36752","Triangle Island","CAAU",2014,"p7","caauplots",117
"36920","Triangle Island","CAAU",2019,"p7","caauplots",97
"38264","Triangle Island","CAAU",1989,"p8","caauplots",171
"38320","Triangle Island","CAAU",1994,"p8","caauplots",149
"38376","Triangle Island","CAAU",1999,"p8","caauplots",113
"38488","Triangle Island","CAAU",2004,"p8","caauplots",136
"38544","Triangle Island","CAAU",2009,"p8","caauplots",110
"38432","Triangle Island","CAAU",2014,"p8","caauplots",107
"38600","Triangle Island","CAAU",2019,"p8","caauplots",113
"39944","Triangle Island","CAAU",1989,"p9","caauplots",247
"40000","Triangle Island","CAAU",1994,"p9","caauplots",204
"40056","Triangle Island","CAAU",1999,"p9","caauplots",149
"40168","Triangle Island","CAAU",2004,"p9","caauplots",170
"40224","Triangle Island","CAAU",2009,"p9","caauplots",158
"40112","Triangle Island","CAAU",2014,"p9","caauplots",140
"40280","Triangle Island","CAAU",2019,"p9","caauplots",181
"41624","Triangle Island","CAAU",1989,"p10","caauplots",247
"41848","Triangle Island","CAAU",2004,"p10","caauplots",119
"41904","Triangle Island","CAAU",2009,"p10","caauplots",116
"41792","Triangle Island","CAAU",2014,"p10","caauplots",148
"41960","Triangle Island","CAAU",2019,"p10","caauplots",134
"43304","Triangle Island","CAAU",1989,"p11","caauplots",221
"43360","Triangle Island","CAAU",1994,"p11","caauplots",200
"43416","Triangle Island","CAAU",1999,"p11","caauplots",161
"43528","Triangle Island","CAAU",2004,"p11","caauplots",177
"43584","Triangle Island","CAAU",2009,"p11","caauplots",176
"43472","Triangle Island","CAAU",2014,"p11","caauplots",249
"43640","Triangle Island","CAAU",2019,"p11","caauplots",202
"44984","Triangle Island","CAAU",1989,"p12","caauplots",379
"45040","Triangle Island","CAAU",1994,"p12","caauplots",291
"45096","Triangle Island","CAAU",1999,"p12","caauplots",155
"45208","Triangle Island","CAAU",2004,"p12","caauplots",190
"45264","Triangle Island","CAAU",2009,"p12","caauplots",136
"45152","Triangle Island","CAAU",2014,"p12","caauplots",183
"45320","Triangle Island","CAAU",2019,"p12","caauplots",135
"46664","Triangle Island","CAAU",1989,"p13","caauplots",122
"46888","Triangle Island","CAAU",2004,"p13","caauplots",71
"46944","Triangle Island","CAAU",2009,"p13","caauplots",74
"46832","Triangle Island","CAAU",2014,"p13","caauplots",105
"47000","Triangle Island","CAAU",2019,"p13","caauplots",66
"48344","Triangle Island","CAAU",1989,"p14","caauplots",99
"48568","Triangle Island","CAAU",2004,"p14","caauplots",39
"48624","Triangle Island","CAAU",2009,"p14","caauplots",23
"48512","Triangle Island","CAAU",2014,"p14","caauplots",27
"48680","Triangle Island","CAAU",2019,"p14","caauplots",26
"50024","Triangle Island","CAAU",1989,"p15","caauplots",354
"50248","Triangle Island","CAAU",2004,"p15","caauplots",177
"50304","Triangle Island","CAAU",2009,"p15","caauplots",173
"50192","Triangle Island","CAAU",2014,"p15","caauplots",257
"50360","Triangle Island","CAAU",2019,"p15","caauplots",194
"50416","Triangle Island","CAAU",1984,"p1","rhauplots",11
"51704","Triangle Island","CAAU",1989,"p1","rhauplots",39
"51760","Triangle Island","CAAU",1994,"p1","rhauplots",4
"51816","Triangle Island","CAAU",1999,"p1","rhauplots",9
"51928","Triangle Island","CAAU",2004,"p1","rhauplots",11
"51984","Triangle Island","CAAU",2009,"p1","rhauplots",0
"51872","Triangle Island","CAAU",2014,"p1","rhauplots",4
"52040","Triangle Island","CAAU",2019,"p1","rhauplots",17
"52096","Triangle Island","CAAU",1984,"p2","rhauplots",3
"53384","Triangle Island","CAAU",1989,"p2","rhauplots",17
"53440","Triangle Island","CAAU",1994,"p2","rhauplots",12
"53496","Triangle Island","CAAU",1999,"p2","rhauplots",4
"53608","Triangle Island","CAAU",2004,"p2","rhauplots",0
"53664","Triangle Island","CAAU",2009,"p2","rhauplots",0
"53552","Triangle Island","CAAU",2014,"p2","rhauplots",2
"53720","Triangle Island","CAAU",2019,"p2","rhauplots",15
"53776","Triangle Island","CAAU",1984,"p3","rhauplots",3
"55064","Triangle Island","CAAU",1989,"p3","rhauplots",4
"55344","Triangle Island","CAAU",2009,"p3","rhauplots",0
"55232","Triangle Island","CAAU",2014,"p3","rhauplots",0
"55400","Triangle Island","CAAU",2019,"p3","rhauplots",1
"55456","Triangle Island","CAAU",1984,"p4","rhauplots",15
"56744","Triangle Island","CAAU",1989,"p4","rhauplots",20
"56800","Triangle Island","CAAU",1994,"p4","rhauplots",27
"56856","Triangle Island","CAAU",1999,"p4","rhauplots",8
